sku,product_name,brand,category,pack_size
SKU0067,Realigned uniform analyzer,Glimmer,oral_care,12
SKU0068,Configurable fresh-thinking methodology,PureLeaf,home_care,2
SKU0069,Customizable human-resource forecast,Glimmer,oral_care,1
SKU0070,Persevering radical support,Glimmer,personal_care,4
SKU0071,Integrated systemic intranet,Northfield,home_care,6
SKU0072,Face-to-face neutral installation,Northfield,oral_care,12
SKU0073,Implemented interactive core,Cascade Home,oral_care,6
SKU0074,Cloned methodical service-desk,Everstate,personal_care,1
SKU0075,Multi-layered context-sensitive access,Glimmer,home_care,6
SKU0076,Synergistic mobile service-desk,PureLeaf,personal_care,4
SKU0077,Customer-focused hybrid intranet,Glimmer,oral_care,1
SKU0078,Programmable stable service-desk,PureLeaf,oral_care,2
SKU0079,Configurable bottom-line circuit,Cascade Home,personal_care,1
SKU0080,Object-based impactful solution,Glimmer,home_care,2
SKU0081,Reverse-engineered bi-directional support,Everstate,home_care,1
SKU0082,Down-sized asymmetric hierarchy,Northfield,oral_care,6
SKU0083,Exclusive global customer loyalty,Northfield,oral_care,1
SKU0084,Right-sized impactful capability,Glimmer,oral_care,12
SKU0085,Focused interactive success,PureLeaf,personal_care,1
SKU0086,Proactive even-keeled task-force,Everstate,home_care,1
SKU0087,Universal zero administration paradigm,PureLeaf,home_care,2
SKU0088,Reverse-engineered encompassing system engine,Northfield,oral_care,1
SKU0089,Stand-alone impactful help-desk,Cascade Home,home_care,4
SKU0090,Phased static portal,PureLeaf,oral_care,6
SKU0091,Open-architected mobile migration,Glimmer,personal_care,2
SKU0092,Grass-roots client-server throughput,Everstate,oral_care,6
SKU0093,Persevering bi-directional capability,Glimmer,home_care,4
SKU0094,Function-based mobile methodology,Cascade Home,oral_care,6
SKU0095,Focused responsive challenge,Glimmer,oral_care,2
SKU0096,Assimilated bandwidth-monitored support,Cascade Home,home_care,2
SKU0097,Business-focused asymmetric methodology,Northfield,home_care,2
SKU0098,Synergistic 4thgeneration conglomeration,Glimmer,personal_care,6
SKU0099,Multi-tiered real-time service-desk,Glimmer,oral_care,4
SKU0100,Inverse coherent framework,Northfield,oral_care,12
SKU0101,Secured regional attitude,Cascade Home,oral_care,2
SKU0102,Virtual asynchronous protocol,Glimmer,personal_care,4
SKU0103,Versatile multi-state throughput,Cascade Home,personal_care,6
SKU0104,Proactive maximized customer loyalty,PureLeaf,oral_care,6
SKU0105,Implemented stable methodology,Everstate,oral_care,2
SKU0106,Pre-emptive motivating firmware,Northfield,home_care,4
SKU0107,Quality-focused global workforce,Cascade Home,oral_care,2
SKU0108,Quality-focused needs-based adapter,Northfield,home_care,6
SKU0109,Virtual 5thgeneration Internet solution,Glimmer,personal_care,6
SKU0110,Decentralized human-resource knowledge user,Everstate,home_care,12
SKU0111,Intuitive homogeneous intranet,Glimmer,personal_care,2
SKU0112,Persevering 5thgeneration alliance,Cascade Home,home_care,4
SKU0113,Enhanced next generation protocol,Everstate,personal_care,4
SKU0114,Vision-oriented exuding strategy,Glimmer,home_care,1
SKU0115,Down-sized mobile Internet solution,Northfield,oral_care,1
SKU0116,Devolved fault-tolerant structure,Everstate,personal_care,1
SKU0117,Networked mobile task-force,Cascade Home,personal_care,12
SKU0118,Customizable non-volatile service-desk,Glimmer,oral_care,6
SKU0119,Pre-emptive stable neural-net,Everstate,home_care,4
SKU0120,Synergized needs-based orchestration,Everstate,personal_care,6
SKU0121,Phased methodical open architecture,Cascade Home,home_care,12
SKU0122,Diverse motivating approach,PureLeaf,personal_care,6
SKU0123,Object-based empowering methodology,Northfield,oral_care,6
SKU0124,Reverse-engineered homogeneous pricing structure,PureLeaf,oral_care,1
SKU0125,Synergistic heuristic throughput,Everstate,personal_care,4
SKU0126,Horizontal fresh-thinking approach,Cascade Home,home_care,4
SKU0127,Assimilated optimizing analyzer,Glimmer,personal_care,2
SKU0128,De-engineered high-level hardware,PureLeaf,personal_care,12
SKU0129,User-centric optimal algorithm,Glimmer,personal_care,1
SKU0130,Virtual responsive Graphical User Interface,Everstate,oral_care,6
SKU0131,Multi-tiered bandwidth-monitored interface,Cascade Home,personal_care,12
SKU0132,Monitored heuristic installation,Northfield,oral_care,6
SKU0133,Monitored analyzing protocol,Cascade Home,oral_care,1
SKU0134,Fully-configurable dynamic encoding,PureLeaf,personal_care,12
SKU0135,Stand-alone fault-tolerant parallelism,Northfield,home_care,12
SKU0136,Configurable system-worthy architecture,Northfield,oral_care,4
SKU0137,Integrated bifurcated Graphical User Interface,Northfield,home_care,12
SKU0138,Down-sized 3rdgeneration monitoring,Cascade Home,personal_care,6
SKU0139,Inverse 5thgeneration knowledgebase,Cascade Home,home_care,1
SKU0140,Switchable interactive open system,Everstate,oral_care,1
SKU0141,Profound intangible flexibility,Northfield,personal_care,12
SKU0142,Ameliorated tangible leverage,PureLeaf,home_care,4
SKU0143,Reverse-engineered 3rdgeneration functionalities,PureLeaf,oral_care,2
SKU0144,Multi-tiered object-oriented info-mediaries,Glimmer,oral_care,1
SKU0145,Inverse object-oriented attitude,Northfield,oral_care,6
SKU0146,Pre-emptive bandwidth-monitored solution,Northfield,oral_care,4
SKU0147,Synergistic demand-driven Graphical User Interface,Cascade Home,oral_care,2
SKU0148,Proactive motivating workforce,Northfield,oral_care,1
SKU0149,Virtual static Graphical User Interface,Glimmer,oral_care,12
SKU0150,Down-sized reciprocal framework,Everstate,home_care,2
SKU0151,Multi-lateral intermediate customer loyalty,Cascade Home,personal_care,6
SKU0152,Proactive scalable toolset,PureLeaf,oral_care,12
SKU0153,Compatible national data-warehouse,Glimmer,personal_care,1
SKU0154,Horizontal empowering application,Glimmer,personal_care,12
SKU0155,Innovative object-oriented initiative,Everstate,personal_care,1
SKU0156,Face-to-face regional synergy,Glimmer,home_care,1
SKU0157,Cross-group transitional paradigm,PureLeaf,oral_care,1
SKU0158,Cross-platform optimizing Graphical User Interface,Everstate,oral_care,6
SKU0159,Future-proofed asymmetric open system,Everstate,personal_care,2
SKU0160,Progressive methodical interface,Northfield,oral_care,6
SKU0161,Expanded grid-enabled utilization,Northfield,home_care,12
SKU0162,Compatible solution-oriented framework,Everstate,personal_care,6
SKU0163,Profit-focused exuding Internet solution,Everstate,oral_care,6
SKU0164,Switchable needs-based functionalities,Glimmer,personal_care,4
SKU0165,Exclusive intangible initiative,Cascade Home,personal_care,1
SKU0166,Function-based regional migration,Everstate,home_care,6
SKU0167,Persevering static task-force,Cascade Home,home_care,2
SKU0168,Reactive contextually-based adapter,Glimmer,oral_care,1
SKU0169,Self-enabling tertiary model,Everstate,personal_care,12
SKU0170,Enterprise-wide object-oriented methodology,Cascade Home,personal_care,2
SKU0171,Extended stable synergy,Northfield,home_care,1
SKU0172,Persistent encompassing productivity,Glimmer,personal_care,2
SKU0173,Public-key reciprocal throughput,PureLeaf,oral_care,1
SKU0174,Optional non-volatile superstructure,Everstate,oral_care,4
SKU0175,Self-enabling analyzing model,Glimmer,personal_care,12
SKU0176,Exclusive high-level Local Area Network,Everstate,personal_care,4
SKU0177,Digitized disintermediate collaboration,Cascade Home,home_care,12
SKU0178,User-friendly systemic task-force,Northfield,personal_care,4
SKU0179,Innovative intermediate installation,Northfield,oral_care,2
SKU0180,Intuitive asymmetric productivity,Cascade Home,personal_care,1
SKU0181,Expanded incremental flexibility,Glimmer,home_care,2
SKU0182,Horizontal secondary complexity,Cascade Home,oral_care,4
SKU0183,Function-based systemic policy,PureLeaf,home_care,1
SKU0184,Front-line impactful encoding,PureLeaf,home_care,6
SKU0185,Customizable coherent core,Everstate,personal_care,12
SKU0186,Assimilated dynamic website,Cascade Home,home_care,12
SKU0187,Integrated maximized matrix,Cascade Home,home_care,6
SKU0188,Realigned intermediate interface,PureLeaf,oral_care,1
SKU0189,Stand-alone 5thgeneration customer loyalty,Glimmer,oral_care,12
SKU0190,Diverse encompassing challenge,Northfield,home_care,1
SKU0191,Assimilated empowering utilization,Northfield,personal_care,12
SKU0192,Grass-roots stable neural-net,Glimmer,personal_care,12
SKU0193,Enhanced secondary analyzer,Northfield,oral_care,2
SKU0194,Up-sized mobile toolset,Everstate,home_care,12
SKU0195,Ameliorated analyzing artificial intelligence,Cascade Home,oral_care,2
SKU0196,Intuitive real-time framework,PureLeaf,oral_care,1
SKU0197,Cloned incremental hierarchy,Everstate,home_care,12
SKU0198,Synchronized stable array,Glimmer,home_care,4
SKU0199,Object-based uniform challenge,Cascade Home,oral_care,6
SKU0200,Front-line bifurcated orchestration,Northfield,home_care,2
